#τ ε τ_err ε_err
-1.539222531281431383e+00 -7.139983303613162136e-02 1.229679589187959721e-03 9.748357383306816004e-04
-1.539222531281431383e+00 -5.553320347254686595e-02 1.229679589187959721e-03 9.787656616168372015e-04
-1.539222531281431383e+00 -3.966657390896199953e-02 1.229679589187959721e-03 9.817097728927887124e-04
-1.539222531281431383e+00 -2.379994434537713310e-02 1.229679589187959721e-03 9.836651867515949776e-04
-1.539222531281431383e+00 -7.933314781792377701e-03 1.229679589187959721e-03 9.846300141140721177e-04
-1.539222531281431383e+00 7.933314781792488724e-03 1.229679589187959721e-03 9.846033638094154467e-04
-1.539222531281431383e+00 2.379994434537724413e-02 1.229679589187959721e-03 9.835853431489766097e-04
-1.539222531281431383e+00 3.966657390896211055e-02 1.229679589187959721e-03 9.815770574940138604e-04
-1.539222531281431383e+00 5.553320347254686595e-02 1.229679589187959721e-03 9.785806088195500574e-04
-1.539222531281431383e+00 7.139983303613173238e-02 1.229679589187959721e-03 9.745990932766707138e-04
-1.539222531281431383e+00 8.726646259971648778e-02 1.229679589187959721e-03 9.696365977571730355e-04
-1.539222531281431383e+00 1.031330921633013542e-01 1.229679589187959721e-03 9.636981954650458704e-04
-1.539222531281431383e+00 1.189997217268861096e-01 1.229679589187959721e-03 9.567899405011348613e-04
-1.539222531281431383e+00 1.348663512904709760e-01 1.229679589187959721e-03 9.489188614669463728e-04
-1.539222531281431383e+00 1.507329808540557314e-01 1.229679589187959721e-03 9.400929540957503328e-04
-1.539222531281431383e+00 1.665996104176405979e-01 1.229679589187959721e-03 9.303211729190796753e-04
-1.539222531281431383e+00 1.824662399812253533e-01 1.229679589187959721e-03 9.196134219789098285e-04
-1.539222531281431383e+00 1.983328695448102197e-01 1.229679589187959721e-03 9.079805445953437193e-04
-1.539222531281431383e+00 2.141994991083949751e-01 1.229679589187959721e-03 8.954343122005992139e-04
-1.539222531281431383e+00 2.300661286719798415e-01 1.229679589187959721e-03 8.819874122538151617e-04
-1.539222531281431383e+00 2.459327582355645969e-01 1.229679589187959721e-03 8.676534352461684474e-04
-1.539222531281431383e+00 2.617993877991495744e-01 1.229679589187959721e-03 8.524468608144264437e-04
-1.539222531281431383e+00 2.776660173627343298e-01 1.229679589187959721e-03 8.363830429734542271e-04
-1.539222531281431383e+00 2.935326469263190852e-01 1.229679589187959721e-03 8.194781944874107715e-04
-1.539222531281431383e+00 3.093992764899038406e-01 1.229679589187959721e-03 8.017493703925682169e-04
-1.539222531281431383e+00 3.252659060534888180e-01 1.229679589187959721e-03 7.832144506913496507e-04
-1.539222531281431383e+00 3.411325356170735734e-01 1.229679589188181765e-03 7.638921222339334349e-04
-1.539222531281431383e+00 3.569991651806583288e-01 1.229679589187959721e-03 7.438018598081574950e-04
-1.539222531281431383e+00 3.728657947442430842e-01 1.229679589187959721e-03 7.229639064529891357e-04
-1.539222531281431383e+00 3.887324243078280617e-01 1.229679589187959721e-03 7.013992530224832933e-04
-1.539222531281431383e+00 4.045990538714128171e-01 1.229679589187959721e-03 6.791296170138849675e-04
-1.539222531281431383e+00 4.204656834349975725e-01 1.229679589187959721e-03 6.561774206852444280e-04
-1.539222531281431383e+00 4.363323129985823279e-01 1.229679589187959721e-03 6.325657684849717022e-04
-1.539222531281431383e+00 4.521989425621673053e-01 1.229679589187959721e-03 6.083184238132033350e-04
-1.539222531281431383e+00 4.680655721257520607e-01 1.229679589187959721e-03 5.834597851420708636e-04
-1.539222531281431383e+00 4.839322016893368161e-01 1.229679589187959721e-03 5.580148615141888868e-04
